,Year,Area_Name,Crime_Code_Description
969,2013,Central,THEFT
970,2013,Central,FRAUD
971,2013,Central,BURGLARY
972,2013,Central,FRAUD
973,2013,Central,BURGLARY
974,2013,Central,GAMBLING
975,2013,Central,ASSAULT
976,2013,Central,VANDALISM
977,2013,Central,BATTERY
978,2013,Central,BATTERY
979,2013,Central,OTHER
981,2013,Central,BURGLARY
982,2013,Central,VANDALISM
983,2010,West Valley,THEFT
984,2013,Central,THEFT
985,2010,Northeast,THEFT
986,2010,Northeast,THEFT
987,2010,Northeast,THEFT
988,2010,Northeast,THEFT
989,2010,Northeast,OTHER
990,2010,Northeast,THEFT
991,2010,77th Street,BURGLARY
992,2010,77th Street,THEFT
993,2010,77th Street,THEFT
994,2010,Pacific,THEFT
995,2010,Pacific,THEFT
996,2010,Pacific,BURGLARY
997,2013,Central,BATTERY
999,2010,Pacific,THEFT
1000,2010,Pacific,THEFT
